央视频道,#genre#
CGTN英文记录,http://182.114.247.179:8686/udp/225.1.5.35:1345
CGTN英文记录,http://202.99.141.84:8686/rtp/239.253.93.195:6373
CGTN英语,http://182.114.247.179:8686/udp/225.1.5.34:1344
CGTN西班牙语,http://182.114.247.179:8686/udp/225.1.5.36:1346
CGTN西班牙语,http://114.243.96.63:8686/rtp/239.3.1.217:4220
CGTN西班牙语,http://202.99.141.84:8686/rtp/239.253.93.196:6374
CGTN记录,http://114.243.96.63:8686/rtp/239.3.1.216:4220
CGTN阿拉伯语,http://182.114.247.179:8686/udp/225.1.5.38:1348
CGTN阿拉伯语,http://114.243.96.63:8686/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://202.99.141.84:8686/rtp/239.253.93.198:6376
卫视频道,#genre#
中国教育1卫视,http://114.243.96.63:8686/rtp/239.3.1.57:8152
中国教育1卫视,http://202.99.141.84:8686/rtp/239.253.92.211:6069
河南卫视4K,http://182.114.247.179:8686/udp/225.1.4.254:1300
CHC动作电影,http://182.114.247.179:8686/udp/225.1.4.208:1261
CHC家庭影院,http://182.114.247.179:8686/udp/225.1.4.209:1262
CHC高清电影,http://182.114.247.179:8686/udp/225.1.4.207:1260
三沙卫视,http://182.114.247.179:8686/udp/225.1.4.234:1280
三沙卫视,http://114.243.96.63:8686/rtp/239.3.1.155:4120
东南卫视,http://182.114.247.179:8686/udp/225.1.4.228:1274
东南卫视,http://182.114.247.179:8686/udp/225.1.4.32:1061
东南卫视,http://114.243.96.63:8686/rtp/239.3.1.156:8148
东南卫视,http://202.99.141.84:8686/rtp/239.253.92.201:6146
东方卫视,http://182.114.247.179:8686/udp/225.1.4.85:1114
东方卫视,http://182.114.247.179:8686/udp/225.1.4.22:1051
东方卫视,http://114.243.96.63:8686/rtp/239.3.1.136:8032
东方卫视,http://202.99.141.84:8686/rtp/239.253.92.89:8019
云南卫视,http://182.114.247.179:8686/udp/225.1.4.152:1307
云南卫视,http://182.114.247.179:8686/udp/225.1.4.33:1062
云南卫视,http://114.243.96.63:8686/rtp/239.3.1.26:8108
兵团卫视,http://114.243.96.63:8686/rtp/239.3.1.144:4120
兵团卫视,http://202.99.141.84:8686/rtp/239.253.93.176:6344
内蒙古卫视,http://182.114.247.179:8686/udp/225.1.4.45:1074
内蒙古卫视,http://114.243.96.63:8686/rtp/239.3.1.43:8176
北京卫视,http://182.114.247.179:8686/udp/225.1.4.81:1110
北京卫视,http://182.114.247.179:8686/udp/225.1.4.21:1050
北京卫视,http://114.243.96.63:8686/rtp/239.3.1.241:8000
北京卫视,http://202.99.141.84:8686/rtp/239.253.92.87:8014
南方卫视,http://114.243.96.63:8686/rtp/239.3.1.161:8001
厦门卫视,http://182.114.247.179:8686/udp/225.1.4.95:1124
厦门卫视,http://114.243.96.63:8686/rtp/239.3.1.143:4120
吉林卫视,http://182.114.247.179:8686/udp/225.1.4.174:1309
吉林卫视,http://182.114.247.179:8686/udp/225.1.4.36:1065
吉林卫视,http://114.243.96.63:8686/rtp/239.3.1.240:8172
吉林卫视,http://202.99.141.84:8686/rtp/239.253.92.202:6147
四川卫视,http://182.114.247.179:8686/udp/225.1.4.151:1306
四川卫视,http://182.114.247.179:8686/udp/225.1.4.40:1069
四川卫视,http://114.243.96.63:8686/rtp/239.3.1.29:8288
四川卫视,http://202.99.141.84:8686/rtp/239.253.92.16:6043
天津卫视,http://182.114.247.179:8686/udp/225.1.4.86:1115
天津卫视,http://182.114.247.179:8686/udp/225.1.4.24:1053
天津卫视,http://114.243.96.63:8686/rtp/239.3.1.141:1234
天津卫视,http://202.99.141.84:8686/rtp/239.253.92.91:8021
宁夏卫视,http://182.114.247.179:8686/udp/225.1.4.43:1072
宁夏卫视,http://114.243.96.63:8686/rtp/239.3.1.46:8124
安徽卫视,http://182.114.247.179:8686/udp/225.1.4.87:1116
安徽卫视,http://182.114.247.179:8686/udp/225.1.4.20:1049
安徽卫视,http://114.243.96.63:8686/rtp/239.3.1.211:8064
安徽卫视,http://202.99.141.84:8686/rtp/239.253.92.209:6566
山东卫视,http://182.114.247.179:8686/udp/225.1.4.88:1117
山东卫视,http://182.114.247.179:8686/udp/225.1.4.27:1056
山东卫视,http://114.243.96.63:8686/rtp/239.3.1.209:8052
山东卫视,http://202.99.141.84:8686/rtp/239.253.92.207:8109
山东教育卫视,http://114.243.96.63:8686/rtp/239.3.1.52:4120
山东教育卫视,http://202.99.141.84:8686/rtp/239.253.92.106:6135
山西卫视,http://182.114.247.179:8686/udp/225.1.4.38:1067
山西卫视,http://114.243.96.63:8686/rtp/239.3.1.42:8172
广东卫视,http://182.114.247.179:8686/udp/225.1.4.166:1207
广东卫视,http://182.114.247.179:8686/udp/225.1.4.30:1059
广东卫视,http://114.243.96.63:8686/rtp/239.3.1.142:8048
广东卫视,http://202.99.141.84:8686/rtp/239.253.92.206:8108
广西卫视,http://182.114.247.179:8686/udp/225.1.4.31:1060
广西卫视,http://114.243.96.63:8686/rtp/239.3.1.39:8300
广西卫视,http://202.99.141.84:8686/rtp/239.253.92.76:8043
新疆兵团卫视,http://182.114.247.179:8686/udp/225.1.4.97:1126
新疆卫视,http://182.114.247.179:8686/udp/225.1.4.47:1076
新疆卫视,http://114.243.96.63:8686/rtp/239.3.1.48:8160
江苏卫视,http://182.114.247.179:8686/udp/225.1.4.83:1112
江苏卫视,http://182.114.247.179:8686/udp/225.1.4.18:1047
江苏卫视,http://114.243.96.63:8686/rtp/239.3.1.135:8028
江苏卫视,http://202.99.141.84:8686/rtp/239.253.92.88:8018
江西卫视,http://182.114.247.179:8686/udp/225.1.4.139:1305
江西卫视,http://182.114.247.179:8686/udp/225.1.4.37:1066
江西卫视,http://114.243.96.63:8686/rtp/239.3.1.123:8164
江西卫视,http://202.99.141.84:8686/rtp/239.253.92.19:6145
河北卫视,http://182.114.247.179:8686/udp/225.1.4.123:1304
河北卫视,http://182.114.247.179:8686/udp/225.1.4.34:1063
河北卫视,http://114.243.96.63:8686/rtp/239.3.1.148:8072
河北卫视,http://202.99.141.84:8686/rtp/239.253.92.154:6011
河南卫视,http://182.114.247.179:8686/udp/225.1.5.45:1355
河南卫视,http://182.114.247.179:8686/udp/225.1.4.98:1127
河南卫视,http://182.114.247.179:8686/udp/225.1.4.51:1080
河南卫视,http://182.114.247.179:8686/udp/225.1.5.42:1352
河南卫视,http://114.243.96.63:8686/rtp/239.3.1.27:8128
河南卫视,http://202.99.141.84:8686/rtp/239.253.92.137:6144
浙江卫视,http://182.114.247.179:8686/udp/225.1.4.84:1113
浙江卫视,http://182.114.247.179:8686/udp/225.1.4.19:1048
浙江卫视,http://114.243.96.63:8686/rtp/239.3.1.137:8036
浙江卫视,http://202.99.141.84:8686/rtp/239.253.92.90:8020
海南卫视,http://182.114.247.179:8686/udp/225.1.4.195:1310
海南卫视,http://182.114.247.179:8686/udp/225.1.4.25:1054
海南卫视,http://114.243.96.63:8686/rtp/239.3.1.45:8304
海南卫视,http://202.99.141.84:8686/rtp/239.253.93.155:6323
深圳卫视,http://182.114.247.179:8686/udp/225.1.4.90:1119
深圳卫视,http://182.114.247.179:8686/udp/225.1.4.23:1052
深圳卫视,http://114.243.96.63:8686/rtp/239.3.1.134:8020
深圳卫视,http://202.99.141.84:8686/rtp/239.253.92.86:8017
湖北卫视,http://182.114.247.179:8686/udp/225.1.4.89:1118
湖北卫视,http://182.114.247.179:8686/udp/225.1.4.35:1064
湖北卫视,http://114.243.96.63:8686/rtp/239.3.1.138:8044
湖北卫视,http://202.99.141.84:8686/rtp/239.253.92.210:6567
湖南卫视,http://182.114.247.179:8686/udp/225.1.4.82:1111
湖南卫视,http://182.114.247.179:8686/udp/225.1.4.17:1046
湖南卫视,http://114.243.96.63:8686/rtp/239.3.1.132:8012
湖南卫视,http://202.99.141.84:8686/rtp/239.253.92.84:8015
甘肃卫视,http://182.114.247.179:8686/udp/225.1.4.42:1071
甘肃卫视,http://114.243.96.63:8686/rtp/239.3.1.49:8188
西藏卫视,http://182.114.247.179:8686/udp/225.1.4.46:1075
西藏卫视,http://114.243.96.63:8686/rtp/239.3.1.47:8164
贵州卫视,http://182.114.247.179:8686/udp/225.1.4.122:1302
贵州卫视,http://182.114.247.179:8686/udp/225.1.4.41:1070
贵州卫视,http://114.243.96.63:8686/rtp/239.3.1.149:8076
贵州卫视,http://202.99.141.84:8686/rtp/239.253.92.105:6055
辽宁卫视,http://182.114.247.179:8686/udp/225.1.4.167:1208
辽宁卫视,http://182.114.247.179:8686/udp/225.1.4.26:1055
辽宁卫视,http://114.243.96.63:8686/rtp/239.3.1.210:8056
辽宁卫视,http://202.99.141.84:8686/rtp/239.253.92.115:6056
重庆卫视,http://182.114.247.179:8686/udp/225.1.4.157:1308
重庆卫视,http://182.114.247.179:8686/udp/225.1.4.29:1058
重庆卫视,http://114.243.96.63:8686/rtp/239.3.1.122:8160
重庆卫视,http://202.99.141.84:8686/rtp/239.253.92.10:6053
陕西卫视,http://182.114.247.179:8686/udp/225.1.4.39:1068
陕西卫视,http://114.243.96.63:8686/rtp/239.3.1.41:8140
青海卫视,http://182.114.247.179:8686/udp/225.1.4.44:1073
青海卫视,http://114.243.96.63:8686/rtp/239.3.1.44:8184
黑龙江卫视,http://182.114.247.179:8686/udp/225.1.4.91:1120
黑龙江卫视,http://182.114.247.179:8686/udp/225.1.4.28:1057
黑龙江卫视,http://114.243.96.63:8686/rtp/239.3.1.133:8016
黑龙江卫视,http://202.99.141.84:8686/rtp/239.253.92.85:8016
河南,#genre#
CETV1,http://182.114.247.179:8686/udp/225.1.4.173:1712
CETV2,http://182.114.247.179:8686/udp/225.1.4.165:1206
CETV4,http://182.114.247.179:8686/udp/225.1.4.171:1710
爱上4K,http://182.114.247.179:8686/udp/225.1.4.162:1204
IPTV法治,http://182.114.247.179:8686/udp/225.1.4.188:1237
IPTV相声小品,http://182.114.247.179:8686/udp/225.1.4.186:1235
IPTV谍战剧场,http://182.114.247.179:8686/udp/225.1.4.185:1240
IPTV野外,http://182.114.247.179:8686/udp/225.1.4.187:1236
中牟综合,http://182.114.247.179:8686/udp/225.1.4.244:1290
健康中原,http://182.114.247.179:8686/udp/225.1.5.48:1358
先锋乒羽,http://182.114.247.179:8686/udp/225.1.4.210:1263
军事,http://182.114.247.179:8686/udp/225.1.4.181:1230
北京卡酷少儿,http://182.114.247.179:8686/udp/225.1.4.48:1077
嘉佳卡通,http://182.114.247.179:8686/udp/225.1.4.92:1121
国学,http://182.114.247.179:8686/udp/225.1.4.196:1311
国学,http://182.114.247.179:8686/udp/225.1.4.178:1227
地理,http://182.114.247.179:8686/udp/225.1.4.183:1232
央广购物,http://182.114.247.179:8686/udp/225.1.4.230:1276
好享购物,http://182.114.247.179:8686/udp/225.1.4.232:1278
好学生,http://182.114.247.179:8686/udp/225.1.4.177:1226
家有购物,http://182.114.247.179:8686/udp/225.1.4.223:1273
山东教育,http://182.114.247.179:8686/udp/225.1.4.164:1205
巩义综合,http://182.114.247.179:8686/udp/225.1.5.50:1360
快乐购,http://182.114.247.179:8686/udp/225.1.4.231:1277
收视指南,http://182.114.247.179:8686/udp/225.1.4.50:1079
新动漫,http://182.114.247.179:8686/udp/225.1.4.212:1265
新密新闻,http://182.114.247.179:8686/udp/225.1.4.239:1285
新郑综合,http://182.114.247.179:8686/udp/225.1.4.243:1289
早教,http://182.114.247.179:8686/udp/225.1.4.179:1228
河南乡村,http://182.114.247.179:8686/udp/225.1.4.120:1149
河南公共,http://182.114.247.179:8686/udp/225.1.4.58:1087
河南功夫,http://182.114.247.179:8686/udp/225.1.4.101:1130
河南国际,http://182.114.247.179:8686/udp/225.1.4.102:1131
河南导视,http://182.114.247.179:8686/udp/225.1.4.194:1244
河南戏曲,http://182.114.247.179:8686/udp/225.1.4.99:1128
河南文博,http://182.114.247.179:8686/udp/225.1.4.100:1129
河南新闻,http://182.114.247.179:8686/udp/225.1.4.56:1085
河南欢腾购物,http://182.114.247.179:8686/udp/225.1.4.236:1282
河南民生,http://182.114.247.179:8686/udp/225.1.4.53:1082
河南法治,http://182.114.247.179:8686/udp/225.1.4.54:1083
河南电视剧,http://182.114.247.179:8686/udp/225.1.4.55:1084
河南移动,http://182.114.247.179:8686/udp/225.1.5.40:1350
河南购物,http://182.114.247.179:8686/udp/225.1.4.57:1086
河南都市,http://182.114.247.179:8686/udp/225.1.4.52:1081
热播剧场,http://182.114.247.179:8686/udp/225.1.4.190:1239
爱体育,http://182.114.247.179:8686/udp/225.1.4.168:1220
爱体育,http://182.114.247.179:8686/udp/225.1.4.5:1034
爱大剧,http://182.114.247.179:8686/udp/225.1.4.8:1037
爱生活,http://182.114.247.179:8686/udp/225.1.4.176:1225
爱电影,http://182.114.247.179:8686/udp/225.1.4.6:1035
爱综艺,http://182.114.247.179:8686/udp/225.1.4.204:1252
睛彩中原,http://182.114.247.179:8686/udp/225.1.4.163:1203
移动戏曲,http://182.114.247.179:8686/udp/225.1.4.206:1254
精选,http://182.114.247.179:8686/udp/225.1.4.253:1299
纪实人文,http://182.114.247.179:8686/udp/225.1.4.170:1222
经典电影,http://182.114.247.179:8686/udp/225.1.4.175:1233
美妆,http://182.114.247.179:8686/udp/225.1.4.182:1231
聚鲨环球精选,http://182.114.247.179:8686/udp/225.1.4.229:1275
足球,http://182.114.247.179:8686/udp/225.1.4.200:1250
郑州商都,http://182.114.247.179:8686/udp/225.1.4.141:1177
郑州商都,http://182.114.247.179:8686/udp/225.1.4.144:1180
郑州妇女,http://182.114.247.179:8686/udp/225.1.4.147:1183
郑州影视,http://182.114.247.179:8686/udp/225.1.4.146:1182
郑州教育,http://182.114.247.179:8686/udp/225.1.4.191:1241
郑州文旅,http://182.114.247.179:8686/udp/225.1.4.142:1178
郑州文旅,http://182.114.247.179:8686/udp/225.1.4.145:1181
郑州新闻,http://182.114.247.179:8686/udp/225.1.4.140:1176
郑州新闻,http://182.114.247.179:8686/udp/225.1.4.143:1179
郑州都市,http://182.114.247.179:8686/udp/225.1.4.149:1185
金鹰卡通,http://182.114.247.179:8686/udp/225.1.4.49:1078
金鹰纪实,http://182.114.247.179:8686/udp/225.1.4.172:1711
音乐现场,http://182.114.247.179:8686/udp/225.1.4.184:1224
风尚购物,http://182.114.247.179:8686/udp/225.1.4.233:1279
高网,http://182.114.247.179:8686/udp/225.1.4.180:1229
魅力时尚,http://182.114.247.179:8686/udp/225.1.4.205:1253
陕西,#genre#
山西,#genre#
河北,#genre#
中国教育2,http://202.99.141.84:8686/rtp/239.253.92.108:6136
4K,http://202.99.141.84:8686/rtp/239.253.92.114:6187
CETV4,http://202.99.141.84:8686/rtp/239.253.92.200:6137
欢笑剧场4K,http://202.99.141.84:8686/rtp/239.253.93.223:6401
临时直播5,http://202.99.141.84:8686/rtp/239.253.92.220:6229
kaku少儿,http://202.99.141.84:8686/rtp/239.253.92.162:8054
三河电视,http://202.99.141.84:8686/rtp/239.253.93.143:6311
东光电视,http://202.99.141.84:8686/rtp/239.253.93.96:6262
东方财经,http://202.99.141.84:8686/rtp/239.253.93.239:6417
中华特产,http://202.99.141.84:8686/rtp/239.253.93.242:6420
中华美食,http://202.99.141.84:8686/rtp/239.253.93.248:6426
中国交通,http://202.99.141.84:8686/rtp/239.253.93.189:6357
中学生,http://202.99.141.84:8686/rtp/239.253.92.27:6106
丰南电视,http://202.99.141.84:8686/rtp/239.253.92.231:6070
丰宁综合,http://202.99.141.84:8686/rtp/239.253.93.210:6388
丰润电视,http://202.99.141.84:8686/rtp/239.253.92.252:6156
临城电视,http://202.99.141.84:8686/rtp/239.253.93.167:6335
临时直播,http://202.99.141.84:8686/rtp/239.253.92.116:6029
临漳电视,http://202.99.141.84:8686/rtp/239.253.93.84:6250
临西电视,http://202.99.141.84:8686/rtp/239.253.94.29:6628
乐亭电视,http://202.99.141.84:8686/rtp/239.253.93.250:6290
乐游,http://202.99.141.84:8686/rtp/239.253.93.224:6402
书画,http://202.99.141.84:8686/rtp/239.253.93.214:6392
井陉电视,http://202.99.141.84:8686/rtp/239.253.93.205:6383
井陉矿区电视,http://202.99.141.84:8686/rtp/239.253.92.215:6067
任县电视,http://202.99.141.84:8686/rtp/239.253.93.145:6313
优优宝贝,http://202.99.141.84:8686/rtp/239.253.93.244:6422
优漫卡通,http://202.99.141.84:8686/rtp/239.253.93.204:6382
保定公共,http://202.99.141.84:8686/rtp/239.253.93.4:6157
保定新闻综合,http://202.99.141.84:8686/rtp/239.253.93.2:6153
保定生活健康,http://202.99.141.84:8686/rtp/239.253.93.5:6158
元氏电视,http://202.99.141.84:8686/rtp/239.253.92.142:6040
先锋乒羽,http://202.99.141.84:8686/rtp/239.253.93.219:6397
党教,http://202.99.141.84:8686/rtp/239.253.92.125:6024
兴隆电视,http://202.99.141.84:8686/rtp/239.253.93.104:6271
兵器科技,http://202.99.141.84:8686/rtp/239.253.92.119:8065
兵器科技,http://202.99.141.84:8686/rtp/239.253.93.47:6435
冀州电视,http://202.99.141.84:8686/rtp/239.253.93.34:6187
内丘电视,http://202.99.141.84:8686/rtp/239.253.93.102:6268
动漫秀场,http://202.99.141.84:8686/rtp/239.253.93.225:6403
北京纪实科教,http://202.99.141.84:8686/rtp/239.253.93.190:6358
南和电视,http://202.99.141.84:8686/rtp/239.253.93.80:6246
南宫电视,http://202.99.141.84:8686/rtp/239.253.93.48:6201
南皮电视,http://202.99.141.84:8686/rtp/239.253.93.149:6317
卢龙电视,http://202.99.141.84:8686/rtp/239.253.93.206:6384
双滦电视,http://202.99.141.84:8686/rtp/239.253.92.147:6224
发现之旅,http://202.99.141.84:8686/rtp/239.253.94.30:6629
吴桥电视,http://202.99.141.84:8686/rtp/239.253.93.169:6337
唐县电视,http://202.99.141.84:8686/rtp/239.253.93.30:6183
唐山公共,http://202.99.141.84:8686/rtp/239.253.92.128:6028
唐山影视,http://202.99.141.84:8686/rtp/239.253.92.127:6027
唐山新闻综合,http://202.99.141.84:8686/rtp/239.253.92.245:6089
唐山生活服务,http://202.99.141.84:8686/rtp/239.253.92.126:6026
嘉佳卡通,http://202.99.141.84:8686/rtp/239.253.93.203:6381
四海钓鱼,http://202.99.141.84:8686/rtp/239.253.93.243:6421
固安电视,http://202.99.141.84:8686/rtp/239.253.93.109:6276
国学,http://202.99.141.84:8686/rtp/239.253.92.158:8071
大厂电视,http://202.99.141.84:8686/rtp/239.253.92.253:6244
大名电视,http://202.99.141.84:8686/rtp/239.253.93.186:6354
大城电视,http://202.99.141.84:8686/rtp/239.253.92.230:6068
天元围棋,http://202.99.141.84:8686/rtp/239.253.93.211:6389
女性时尚,http://202.99.141.84:8686/rtp/239.253.92.249:6103
女性时尚,http://202.99.141.84:8686/rtp/239.253.92.144:6114
宁晋电视,http://202.99.141.84:8686/rtp/239.253.93.51:6204
安平电视,http://202.99.141.84:8686/rtp/239.253.93.36:6189
